cat,source,machine,title,body,url,quality,dup_key,author
hall,パチスロ稼働貢献ランキング,スマスロ モンキーターンV,スマスロ史上最長・119週連続稼働1位の記録を更新中,スマスロモンキーターンV（山佐）が稼働貢献119週連続1位という前人未到の記録。5389店舗設置で「比較的低投資で遊ばせてくれる」のが理由として挙がる。爆裂台が話題になりがちなスマスロ市場で、ほどよく遊べる台が最終的に最も支持される事実を体現している存在。,https://psumma.jp/pachislo/69119/,5,スマスロモンキーターンV119週稼働1位スマスロ史上最長記録_hall,スロキー編集部
hall,パチスロ稼働貢献ランキング,スマスロ からくりサーカス,稼働94週2位キープ「CZの面白さはスマスロ随一」の声,スマスロからくりサーカス（SANKYO）が稼働94週連続2位をキープ。「チャンスゾーンの面白さはスマスロで一番」というユーザー評価が長期稼働を支えている。後継機からくりサーカス2が7月6日に控えており、「先代を積極的に撤去するか・2台並べるか」がホール側の判断どころに。,https://psumma.jp/pachislo/69119/,4,スマスロからくりサーカス94週2位CZ面白さスマスロ随一_hall,深夜のスロライター
episode,パチスロ稼働貢献ランキング,スマスロ 北斗の拳,「4号機世代の休眠層が北斗で戻ってきた」現場の証言,スマスロ北斗の拳（サミー）が89週稼働3位、5634店設置。長期稼働の背景について「4号機時代のスロプロや元打ち手が北斗をきっかけにパチスロを再開したという話をホールで何度も聞いた」という現場スタッフの証言が話題。IPの強さと実機の完成度が重なった稀有なケース。,https://psumma.jp/pachislo/69119/,4,スマスロ北斗の拳89週3位4号機世代休眠層復帰現場証言_episode,編集部のマニア
spec,チョンボリスタ,Lからくりサーカス2,「レバーが硬くて疲れる」筐体の欠点が試打段階から露出,7月6日導入予定のLからくりサーカス2（SANKYO）で、筐体レバーの硬さ・形状への批判が試打段階から出ている。「固い・打ちにくい・疲れやすい」とボタン配置の問題も指摘。スペックは設定6で機械割114.9%の名台候補だが、1日打ち続けることへの身体的負担が懸念点として挙がっている。,https://chonborista.com/slot/sankyo-slot/256699/,4,Lからくりサーカス2レバー硬すぎ筐体欠点疲れる打ちにくい_game,スロ専門編集
spec,チョンボリスタ,Lからくりサーカス2,「前作と変わらなすぎ」賛否——それでも20,000台導入予定,からくりサーカス2に対して「前作踏襲で新鮮味がない」という批判が試打会から出ている一方、「変えなくて正解、あの面白さでいい」という擁護も。一部店舗で導入制限もある中、予定導入台数は約20,000台という規模。賛否が割れた状態で7月を迎えることになる。,https://chonborista.com/slot/sankyo-slot/256699/,3,Lからくりサーカス2前作と変わらない賛否20000台導入予定_game,パチスロ記者
spec,チョンボリスタ,eライザのアトリエ 常闇の女王と秘密の隠れ家,スマパチ新境地「錬金術連鎖システム」で1500個×3連鎖,京楽スマパチ「ライザのアトリエ 常闇の女王と秘密の隠れ家」が5月7日導入（首都圏5月11日）。「究極連鎖BONUS」は錬金術成功率約64%で1500個×3回の出玉が連鎖する設計。ライザの成長に合わせて出玉性能が成長するゲーム性はRPGファン向けのコンセプト。ライザシリーズ最大ヒット作のパチンコ化。,https://chonborista.com/pachinko/kyoraku/257505/,4,eライザのアトリエ常闇スマパチ錬金術連鎖4500個RPGファン向け_spec,編集長補佐
spec,ぱちんこキュレーション,eバキ2LCM2,格闘IP「バキ2」スマパチ新作がアムテックスで検定通過,アムテックスの「eバキ2LCM2」が2026年5月1日に検定通過。バキシリーズのパチンコ新作で、LCM（液晶クリスタル系演出）搭載の新仕様版と見られる。スペック詳細は未発表だが、格闘アニメIPのパチンコが続く2026年下半期の導入候補として注目。,https://pachinko-curation.com/24248/,3,eバキ2LCM2アムテックス検定通過格闘IP2026_spec,スロ好き編集マン
spec,ぱちんこキュレーション,e七つの大罪3-GRAND FINAL EPISODE ATTACK-,「七つの大罪3」銀座製が4月30日検定通過——完結編仕様か,銀座の「e七つの大罪3 GRAND FINAL EPISODE ATTACK」が4月30日に検定通過。GFEAというサブタイトルから原作完結に合わせた演出構成が想定される。大罪シリーズのパチンコは人気IPとして継続展開されており、導入は2026年7月以降が濃厚とみられる。,https://pachinko-curation.com/24248/,3,e七つの大罪3GFEA銀座4月30日検定通過完結系_spec,ライター見習い
spec,ぱちんこキュレーション,e東京リベンジャーズ 聖夜決戦篇,タイヨーエレック「東京リベンジャーズ 聖夜決戦篇」4月30日検定通過,タイヨーエレックの「e東京リベンジャーズ 聖夜決戦篇」が4月30日検定通過。東京卍会の聖夜決戦をテーマにしたクリスマス演出が期待される仕様。東リベはアニメ終盤の展開まで使えるコンテンツとしてパチンコ業界で根強い人気を保っており、後続機の展開が続く。,https://pachinko-curation.com/24248/,3,e東京リベンジャーズ聖夜決戦篇タイヨーエレック4月30日検定通過_spec,スロキー編集部
hall,一撃,全般,5月11日同時導入——バイオRE3とビッグドリームが対照的すぎる,5月11日はスマスロ2台同時導入の日。バイオRE3（初当たり1/399・コイン単価3.4円・5ch評価ネガ）とビッグドリーム（純増8.2枚・5000枚率58%・期待感大）という対照的な2台が並ぶ。どちらを優先導入するかで、そのホールの方向性が見えると言われている。,https://1geki.jp/newmachinecalender/,4,5月11日スマスロ同時導入バイオRE3ビッグドリーム対照的2台_hall,編集部AI
