機種名,略称,メーカー,種類,カテゴリ,導入,稼働週,状況,コイン単価(公表),MY(設定1),MY×単価(円),ATTS,純増(最高),SIS平均アウト,SIS平均MY,SIS割数%
LULTRAMAN,ULTRAMAN,京楽,スマスロ,AT,2025-06,1,貢献中,3.2,,0,320,4.0,5402,+1717,99.6
LB1000ちゃんA,せんちゃんBT,オーイズミ,スマスロ,BT,2025-06,1,貢献中,2.6,2096,5449,,,8932,+2401,99.2
Lデビルメイクライ5スタイリッシュトライブ,デビルメイ5,エンターライズ,スマスロ,AT,2025-06,1,貢献中,3.5,,0,445,5.8,10181,+7131,97.6
LB翔べ！ハーレムエース,ハーレムエース,カルミナ,スマスロ,BT,2025-06,1,貢献中,2.4,,0,,,11696,+4827,98.6
LBプレミアムうまい棒,うまい棒2,平和,スマスロ,BT,2025-06,1,貢献中,2.2,,0,,,7996,+3774,98.3
LBニューパルサー,ニューパル,山佐,スマスロ,BT,2025-06,1,貢献中,2.3,,0,,,7867,+2999,98.8
Lギルティクラウン2,ギルクラ2,ユニバーサル,スマスロ,A＋AT,2025-06,1,貢献中,3.0,2937,8811,596,2.0,7755,+3816,98.5
Lいざ！番長,いざ番,大都技研,スマスロ,AT,2025-06,1,貢献中,3.5,3380,11830,386,5.0,14273,+6721,98.8
ジャックポット,ジャックポット,ベルコ,スマスロ,BT,2025-06,,,4.4,,0,,,,,
LToLOVEるダークネスTRANCEver.8.7,トラブル2,平和,スマスロ,AT,2025-05,3,貢献中,4.4,,0,353,8.7,14031,+6498,99.0
L機動戦士ガンダムSEED,SEED,サンキョー,スマスロ,AT,2025-05,4,終了,4.1,4012,16449,460,6.6,7887,+4840,98.2
L緑ドンVIVA!情熱南米編REVIVAL,緑ドン2,ユニバーサル,スマスロ,AT,2025-05,5,貢献中,3.5,3467,12134,561,4.5,10862,+4070,99.3
Lようこそ実力至上主義の教室へ,よう実,サミー,スマスロ,AT,2025-05,5,終了,3.2,,0,329,3.3,8775,+5557,97.9
L吉宗,吉宗？,大都技研,スマスロ,AT,2025-04,7,貢献中,4.0,4000,16000,379,7.1,13601,+7702,98.5
Lアイドルマスターミリオンライブ！,ミリマス,山佐,スマスロ,A＋AT,2025-04,3,終了,3.2,3339,10684,,0.4,8620,+5467,97.9
L麻雀物語,L麻雀物語,平和,スマスロ,AT,2025-04,7,終了,3.5,3456,12096,354,3.7,12703,+5902,98.7
Lマギアレコード魔法少女まどか☆マギカ外伝,マギレコ,ユニバーサル,スマスロ,AT,2025-04,9,貢献中,3.2,2998,9593,654,2.6,14004,+4302,99.4
Lゴジラ,ゴジラ,ニューギン,スマスロ,AT,2025-04,6,終了,5.2,4832,25126,380,5.0,10956,+4146,99.9
Lうしおととら白面決戦,Lうしとら,大一商会,スマスロ,AT,2025-04,3,終了,3.3,3600,11880,397,5.0,6047,+2390,99.4
Lアメイジングライブ,アメイジング,パイオニア,スマスロ,AT,2025-04,2,終了,3.2,2900,9280,274,3.3,,,
L少女☆歌劇レヴュースタァライト-TheSLOT-,レヴュスタ,オーイズミ,スマスロ,A＋AT,2025-03,14,貢献中,2.9,2674,7754,359,3.4,14080,+5057,98.9
Lバイオハザード5,バイオ5,エンターライズ,スマスロ,AT,2025-03,14,終了,3.2,2972,9510,325,4.0,14093,+6580,98.6
LSisterQuest,シスクエ,カルミナ,スマスロ,AT,2025-03,6,終了,3.9,4083,15923,470,5.0,9904,+6167,98.1
L仮面ライダー電王,電王,京楽,スマスロ,AT,2025-03,3,終了,3.3,,0,478,2.5,5094,+2756,98.5
L回胴黙示録カイジ狂宴,カイジ,サミー,スマスロ,AT,2025-03,7,終了,3.1,2803,8689,384,5.3,10304,+5488,98.4
Lてぃだどんどん,てぃだどんどん,大都技研,スマスロ,AT,2025-03,1,終了,4.0,,0,295,6.0,4509,+2654,98.1
Lスーパーブラックジャック,ブラックジャック,山佐,スマスロ,AT,2025-02,18,貢献中,3.6,3246,11685,417,5.1,14811,+7968,98.3
Lありふれた職業で世界最強,ありふれ,サンキョー,スマスロ,AT,2025-02,5,終了,3.1,3319,10288,395,5.0,9778,+4870,98.6
L東京喰種,喰種,フィールズ,スマスロ,AT,2025-02,18,貢献中,4.0,4053,16212,394,4.0,15698,+6774,99.0
Lシャーマンキング,マンキン,ユニバーサル,スマスロ,AT,2025-02,9,終了,4.2,4151,17434,573,5.4,11399,+7882,97.8
Lにゃんこ大戦争超神速,にゃんこ神速,京楽,スマスロ,AT,2025-01,5,終了,3.9,3480,13572,395,9.0,8531,+5548,97.9
Lシン・エヴァンゲリオン,シンエヴァ,フィールズ,スマスロ,AT,2025-01,4,終了,3.2,3059,9788,291,5.0,8086,+3822,98.7
L七つの魔剣が支配する,ナナツマ,コナミ,スマスロ,AT,2025-01,17,終了,3.2,3007,9622,408,5.4,14230,+6686,98.5
LディスクアップULTRAREMIX,ディスク,サミー,スマスロ,AT,2025-01,20,貢献中,2.5,2305,5762,,6.5,15647,-34,100.7
L島娘,島娘,平和,スマスロ,AT,2025-01,3,終了,5.1,5005,25525,197,5.0,9048,+2844,99.5
Lサラリーマン金太郎,サラ金,ニューギン,スマスロ,AT,2025-01,7,終了,4.0,4000,16000,844,6.0,12223,+7242,98.1
Lチバリヨ2プラス,チバリヨ2,ネット,スマスロ,AT,2025-01,2,終了,4.3,4500,19350,328,4.5,7448,+5417,97.5
L一方通行とある魔術の禁書目録,アクセラレーター,藤商事,スマスロ,AT,2024-12,4,終了,3.7,3503,12961,320,4.5,7921,+4706,98.1
Lスーパービンゴネオ,ビンゴ,ベルコ,スマスロ,AT,2024-12,15,終了,4.3,4333,18631,449,5.0,12133,+8827,97.7
Lダンベル何キロ持てる？,ダンベル,サンキョー,スマスロ,AT,2024-12,8,終了,4.0,3666,14664,591,8.5,9860,+3925,99.3
Sウルトラミラクルジャグラー,ミラクルジャグラー,北電子,6.5号機～,A,2024-12,27,貢献中,,,,,,,,
L犬夜叉2,犬夜叉2,フィールズ,スマスロ,AT,2024-12,6,終了,4.2,4085,17157,435,5.0,7200,+4837,97.9
Lルパン三世大航海者の秘宝,ルパン,平和,スマスロ,AT,2024-12,12,終了,4.0,3500,14000,289,4.7,11610,+5537,98.8
L桃太郎電鉄～パチスロも定番!～,桃鉄,コナミ,スマスロ,AT,2024-12,8,終了,3.0,3005,9015,425,4.0,10387,+5178,98.3
L聖戦士ダンバイン,ダンバイン,サミー,スマスロ,AT,2024-12,8,終了,3.8,3569,13562,597,6.0,9994,+4396,98.9
S沖ドキ！ゴージャス-30,沖ドキ,ユニバーサル,6.5号機～,AT,2024-12,27,貢献中,4.1,3320,13612,288,3.5,,,
Lダブルアタック2withOZS-1000＆RAPHAEL,ダブルアタック,オーイズミ,スマスロ,AT,2024-11,,,3.8,3600,13680,259,5.0,,,
Lモンスターハンターライズ,モンハン,エンターライズ,スマスロ,AT,2024-11,26,終了,3.3,3168,10454,309,4.0,12429,+3740,99.5
L新・必殺仕置人回胴CRASHSPEC,仕置人,京楽,スマスロ,AT,2024-11,5,終了,3.2,3176,10163,456,3.0,6428,+3717,98.1
Lバンドリ！,バンドリ,平和,スマスロ,AT,2024-11,5,終了,3.7,3505,12968,328,4.7,5707,+2468,98.9
L超華祭,華祭,パイオニア,スマスロ,AT,2024-11,3,終了,2.6,2311,6008,160,5.6,4773,+2292,98.4
LRe：ゼロから始める異世界生活season2,リゼロ2,大都技研,スマスロ,AT,2024-10,7,終了,4.1,4130,16933,417,9.0,6547,+5416,97.2
L今日から俺は!!パチスロ編,今日俺,コナミ,スマスロ,AT,2024-10,9,終了,2.9,2802,8125,216,6.0,,,
L真・一騎当千,一騎当千,大一商会,スマスロ,AT,2024-10,18,終了,3.3,,0,321,3.3,11608,+4854,98.9
L頭文字D2nd,イニD2,サミー,スマスロ,AT,2024-10,9,終了,3.4,,0,405,4.0,,,
L鬼武者3,鬼武者3,エンターライズ,スマスロ,AT,2024-10,4,終了,3.7,2890,10693,267,6.1,,,
Sハイパーラッシュ,ハイパラ,山佐,6.5号機～,AT,2024-09,25,終了,2.4,2235,5364,,7.2,,,
L黄門ちゃま天,ちゃま天,平和,スマスロ,AT,2024-09,4,終了,3.7,3491,12916,398,4.0,,,
L閃乱カグラ2SHINOVIMASTER,カグラ2,オーイズミ,スマスロ,A＋AT,2024-09,10,終了,3.2,3111,9955,398,2.2,,,
LＡ-ＳＬＯＴ＋この素晴らしい世界に祝福を！,このすばA,サミー,スマスロ,A＋AT,2024-09,8,終了,2.2,1830,4026,,,,,
Lスマスロかぐや様は告らせたい,かぐや様,サンキョー,スマスロ,AT,2024-09,40,貢献中,4.2,4255,17871,362,9.0,11546,+5860,98.5
Lスマスロゲゲゲの鬼太郎覚醒,ゲゲゲ,藤商事,スマスロ,AT,2024-08,5,終了,4.3,4060,17458,421,5.0,,,
Lワンパンマン,ワンパンマン,ニューギン,スマスロ,AT,2024-08,5,終了,3.5,3190,11165,620,4.0,,,
LＤ４ＤＪＰａｃｈｉ－ＳｌｏｔＭｉｘ,D4DJ,京楽,スマスロ,AT,2024-08,3,終了,2.6,2606,6775,270,1.3,,,
Lスマスロトロピカーナ,トロピカーナ,ユニバーサル,スマスロ,AT,2024-08,1,終了,3.3,,0,239,6.0,,,
L賞金首Ａｎｇｅｌ,賞金首,ネット,スマスロ,AT,2024-07,3,終了,3.1,2780,8618,530,2.8,,,
Lスマスロゴッドイーターリザレクション,ゴッドイーター,山佐,スマスロ,AT,2024-07,43,終了,3.5,3288,11508,351,9.0,10483,+2664,99.8
Lスロットゾンビランドサガ,ゾンサガ,大都技研,スマスロ,AT,2024-07,14,終了,2.8,2520,7056,529,3.8,,,
Sミスタージャグラー,ミスタージャグラー,北電子,6.5号機～,A,2024-07,46,貢献中,,,,,,,,
Sぱちスロご～やちゃんぷる～,ごーや,京楽,6.5号機～,AT,2024-07,1,終了,3.8,3080,11704,236,3.0,,,
Lパチスロ戦姫絶唱シンフォギア正義の歌,Lシンフォ,サンキョー,スマスロ,AT,2024-07,7,終了,3.9,4003,15611,295,5.0,,,
Lスマスロ真・北斗無双,北斗無双,サミー,スマスロ,AT,2024-07,5,終了,4.0,3718,14872,381,5.0,,,
Lアカメが斬る！２,アカメ2,フィールズ,スマスロ,A＋AT,2024-07,3,終了,3.8,3541,13455,390,2.6,,,
S沖ドキ！ＢＬＡＣＫ,沖ドキブラック,ユニバーサル,6.5号機～,AT,2024-07,49,貢献中,3.8,3158,12000,288,3.5,,,
L聖闘士星矢海皇覚醒ＣＵＳＴＯＭＥＤＩＴＩＯＮ,L聖矢,サンヨー,スマスロ,AT,2024-06,12,終了,4.0,4051,16204,1168,5.1,,,
LスマスロストリートファイターＶ挑戦者の道,ストファイ,エンターライズ,スマスロ,AT,2024-06,4,終了,2.6,,0,,3.6,,,
Sアオハル♪操Ａ－ＬＩＶＥ,操,大都技研,スマスロ,AT,2024-06,6,終了,2.6,,0,,7.0,,,
LＴｏＬＯＶＥるダークネス,トラブル,平和,スマスロ,AT,2024-06,36,終了,4.3,4253,18287,352,6.6,,,
L痛いのは嫌なので防御力に極振りしたいと思います。,防振り,サミー,スマスロ,AT,2024-06,24,終了,3.3,2837,9362,319,5.5,,,
SニューパルサーＳＰ４ｗｉｔｈ太鼓の達人,ニューパル4,山佐,6.5号機～,A,2024-05,4,終了,,,,,,,,
Lパチスロ炎炎ノ消防隊,L炎炎,サンキョー,スマスロ,AT,2024-05,18,終了,3.1,3100,9610,790,5.7,,,
Lスマスロ交響詩篇エウレカセブン４HI-EVOLUTION,エウレカ4,サミー,スマスロ,AT,2024-05,4,終了,3.0,2640,7920,366,4.5,,,
Lウルトラマンティガ,ティガ,京楽,スマスロ,AT,2024-05,4,終了,3.8,3617,13744,423,2.5,,,
Sﾀﾞﾝｼﾞｮﾝに出会いを求めるのは間違っているだろうか２,だんまち2,北電子,6.5号機～,A＋ART,2024-04,7,終了,2.5,1560,3900,493,0.4,,,
L押忍！番長４,番4,大都技研,スマスロ,AT,2024-04,14,終了,3.1,3070,9517,259,4.5,,,
S金のかぼちゃ,かぼちゃ,バルテック,6.5号機～,AT,2024-04,,,2.9,,0,399,3.3,,,
Lスマスロゴールデンカムイ,ゴルカム,サミー,スマスロ,AT,2024-04,6,終了,3.6,3176,11433,308,4.5,,,
SジャグラーガールズSS,ジャグラーガールズ,北電子,6.5号機～,A,2024-04,61,貢献中,,,,,,,,
Lパチスロうる星やつら,うる星,ニューギン,スマスロ,AT,2024-04,9,終了,3.3,2640,8712,535,2.6,,,
Lストライク・ザ・ブラッド,ストブラ,エンターライズ,スマスロ,A＋AT,2024-04,5,終了,2.2,2064,4540,311,1.4,,,
L忍魂参～奥義皆伝ノ章～,忍3,大都技研,スマスロ,AT,2024-03,8,終了,3.4,3220,10948,368,4.5,,,
SＳＬＯＴ忍者じゃじゃ丸くん,じゃじゃ丸,ユニバーサル,6.5号機～,AT,2024-03,2,終了,4.0,3273,13092,336,3.0,,,
Lスマート沖スロドラゴンハナハナ～閃光～,ドラゴンハナハナ,パイオニア,スマスロ,A,2024-03,5,終了,,,,,,,,
Sパチスロガメラ２,ガメラ2,サミー,6.5号機～,AT,2024-03,17,終了,2.7,2352,6350,,4.0,,,
Lスマスロキングパルサー,キンパル,山佐,スマスロ,AT,2024-03,10,終了,2.8,2508,7022,,5.0,,,
L南国育ち,南国,平和,スマスロ,AT,2024-03,10,終了,3.7,3513,12998,299,6.0,,,
Lチバリヨ２,チバリヨ2,ネット,スマスロ,AT,2024-03,66,貢献中,4.5,4572,20574,328,4.5,,,
Sキングクリエーター-30,キングクリエーター,北電子,6.5号機～,A,2024-03,2,終了,,,,,,,,
L冴えない彼女の育てかた,さえかの,大都技研,スマスロ,AT,2024-02,2,終了,2.6,2470,6422,197,3.5,,,
Lコードギアス反逆のルルーシュ復活のルルーシュ,Lギアス,サミー,スマスロ,AT,2024-02,6,終了,3.2,2800,8960,439,2.8,,,
Lストライクウィッチーズ２,ストライクウィッチーズ,サンヨー,スマスロ,AT,2024-02,6,終了,3.6,3268,11764,432,7.0,,,
Lスカイラブ,スカイラブ,カルミナ,スマスロ,AT,2024-02,3,終了,3.3,2733,9018,503,5.0,,,
Lパチスロガールズ＆パンツァー最終章,Lガルパン,平和,スマスロ,AT,2024-02,8,終了,3.2,2787,8918,408,4.7,,,
Lゴジラ対エヴァンゲリオン,ゴジエヴァ,サンキョー,スマスロ,AT,2024-02,26,終了,3.7,3359,12428,581,5.0,10956,+4146,99.9
LＧＩ優駿倶楽部黄金,LG1,コナミ,スマスロ,AT,2024-02,14,終了,2.8,2712,7593,599,5.2,,,
SワードオブライツII,ライツ2,ユニバーサル,6.5号機～,A＋AT,2024-02,5,終了,2.4,1823,4375,,0.5,,,
Sパチスロ武装神姫,武装神姫,コナミ,6.5号機～,AT,2024-01,6,終了,2.8,2510,7028,282,3.0,,,
Lぱちスロ７ＲＩＤＥＲＳ,7ライダー,京楽,スマスロ,AT,2024-01,9,終了,3.3,3000,9900,297,2.6,,,
Lスマスロバイオハザードヴィレッジ,ヴィレッジ,エンターライズ,スマスロ,AT,2024-01,5,終了,3.3,2800,9240,445,2.5,,,
L吉宗ＲＩＳＩＮＧ,吉宗ライジング,大都技研,スマスロ,AT,2024-01,5,終了,4.0,3330,13320,268,4.0,13601,+7702,98.5
Lパチスロマクロスフロンティア４,マクロス4,サンキョー,スマスロ,AT,2024-01,8,終了,3.3,3066,10117,507,5.0,,,
Sパチスロファイヤードリフト,ファイヤードリフト,サミー,6.5号機～,AT,2023-12,5,終了,3.1,2728,8456,249,6.0,,,
Sドラゴンハナハナ～閃光～-30,ドラゴンハナハナ,パイオニア,6.5号機～,A,2023-12,77,貢献中,,,,,,,,
Lスマスロバジリスク甲賀忍法帖絆2天膳BLACKEDITION,天膳,ユニバーサル,スマスロ,AT,2023-12,17,終了,3.4,3226,10968,418,2.9,,,
Lマジカルハロウィン８,マジハロ8,コナミ,スマスロ,A＋ART,2023-12,14,終了,2.5,2120,5300,352,1.0,,,
LスマスロモンキーターンＶ,モンキー,山佐,スマスロ,AT,2023-12,79,貢献中,3.1,2723,8441,299,4.0,10353,+1760,100.1
Lリングにかけろ１Ｖ,りんかけ,フィールズ,スマスロ,AT,2023-12,3,終了,3.1,3046,9442,516,4.5,,,
Sクランキークレスト,クラクレ,,6.5号機～,A,2023-12,23,終了,,,,,,,,
Lパチスロラブ嬢３Ｗご指名はいかがですか？,ラブ嬢3,平和,スマスロ,AT,2023-12,11,終了,3.0,2625,7875,285,2.7,,,
Lパチスロ花の慶次～佐渡攻めの章～,慶次,ニューギン,スマスロ,AT,2023-12,9,終了,3.7,3981,14729,474,2.6,,,
Lパチスロケンガンアシュラ,検眼,ネット,スマスロ,AT,2023-11,3,終了,3.8,3800,14440,399,5.0,,,
Lスマスロ劇場版まどか前後編ｆ-フォルテ-,フォルテ,ユニバーサル,スマスロ,AT,2023-11,2,終了,3.2,3024,9676,,4.0,,,
Lスマスロとある魔術の禁書目録,インデックス,藤商事,スマスロ,AT,2023-11,10,終了,3.2,2908,9305,370,4.1,,,
S交響詩篇エウレカセブンHI-EVOLUTIONZEROTYPE-ART,ハイエボ,サミー,6.5号機～,A＋ART,2023-11,27,終了,2.2,1783,3922,270,1.0,,,
L大工の源さん超夢源,源さん,サンヨー,スマスロ,AT,2023-11,5,終了,4.2,3810,16002,337,2.7,,,
Lひぐらしのなく頃に業,ひぐらし,大一商会,スマスロ,A＋ART,2023-11,4,終了,2.4,,0,,0.9,,,
Sデジスロジャック,デジスロジャック,ベルコ,6.5号機～,AT,2023-11,,,2.8,,0,,5.8,,,
Lスマスロ転生したらスライムだった件,転スラ,山佐,スマスロ,AT,2023-10,9,終了,3.2,2745,8784,370,2.5,,,
S燃えチバ-30,燃えちば,ネット,6.5号機～,AT,2023-10,5,終了,3.4,3137,10665,279,3.0,,,
Sスーハナライジング-30,スーハナ,パイオニア,6.5号機～,AT,2023-10,9,終了,3.4,3030,10302,216,3.3,,,
Lエヴァンゲリオン～未来への創造～,エヴァGOD,サンキョー,スマスロ,AT,2023-10,2,終了,4.2,3965,16653,725,5.0,,,
L麻雀格闘倶楽部覚醒,ファイトクラブ,コナミ,スマスロ,AT,2023-09,12,終了,2.6,2510,6526,246,8.0,,,
L戦国コレクション５超極楽ＬＯＯＰ,戦コレ5,コナミ,スマスロ,AT,2023-09,8,終了,3.6,3600,12960,346,10.0,,,
S回胴式遊技機グランベルム,グランベルム,北電子,6.5号機～,AT,2023-09,19,終了,2.7,,0,478,3.2,,,
Sパチスロ傷物語,傷物語,サミー,6.5号機～,AT,2023-09,6,終了,3.2,2712,8678,265,2.8,,,
Sファミスタ回胴版！！,ファミスタ,ユニバーサル,6.5号機～,A＋ART,2023-09,13,終了,2.5,1995,4987,,0.3,,,
L戦国乙女４戦乱に閃く炯眼の軍師,乙女4,平和,スマスロ,AT,2023-09,47,終了,3.4,3108,10567,,5.0,,,
L００９ＲＥ：ＣＹＢＯＲＧ,サイボーグ,ニューギン,スマスロ,AT,2023-09,6,終了,3.2,3104,9932,614,7.0,,,
Lスマスロキン肉マン～７人の悪魔超人編～,キン肉マン,山佐,スマスロ,AT,2023-08,15,終了,4.4,4290,18876,404,6.1,,,
Lスマスロ戦国ＢＡＳＡＲＡＧＩＧＡ,バサラ,エンターライズ,スマスロ,AT,2023-08,3,終了,4.2,3473,14586,529,3.1,,,
L防空少女ラブキューレ２～極限の共鳴～,ラブキューレ,コナミ,スマスロ,A＋ART,2023-08,9,終了,2.6,,0,549,1.1,,,
Lぱちスロ乃木坂４６,乃木坂,京楽,スマスロ,AT,2023-08,9,終了,3.1,2850,8835,361,2.6,,,
SスーパービンゴＮＥＯＣＬＡＳＳＩＣ,ビンゴネオ,ベルコ,6.5号機～,AT,2023-08,3,終了,4.0,,0,354,2.8,,,
Lスマスロバイオハザード：ヴェンデッタ,ヴェンデッタ,サミー,スマスロ,AT,2023-07,5,終了,3.2,2710,8672,395,4.0,,,
Sパチスロ戦国恋姫,恋姫,藤商事,6.5号機～,AT,2023-07,,止中,2.3,,0,,5.0,,,
Sパチスロ織田信奈の野望全国版,のぶな,フィールズ,6.5号機～,AT,2023-07,5,終了,2.9,2517,7299,280,2.5,,,
Sゴーゴージャグラー３,ゴージャグ3,北電子,6.5号機～,A,2023-07,101,貢献中,,,,,,,,
Sパチスロ蛇喰夢子という女,賭ケグルイ,ネット,6.5号機～,AT,2023-07,6,終了,3.2,,0,323,2.7,,,
Lパチスロからくりサーカス,からくり,サンキョー,スマスロ,AT,2023-07,89,終了,4.1,4000,16400,564,7.6,8484,+3639,99.1
Sパチスロナイツ,ナイツ,山佐,6.5号機～,AT,2023-07,10,終了,2.1,,0,,8.7,,,
S真天下布武,天下布武,山佐,6.5号機～,AT,2023-06,6,終了,3.0,2544,7632,374,2.5,,,
Lパチスロベルセルク無双,ベルセルク,ニューギン,スマスロ,AT,2023-06,4,終了,3.2,2904,9292,390,5.0,,,
Sウルトラちゃぶ台返し,ちゃぶ台,ベルコ,6.5号機～,AT,2023-06,2,終了,3.0,,0,240,4.0,,,
Sコードギアス反逆のルルーシュ３C.C.&Kallenver.,ギアスCC,サミー,6.5号機～,A＋AT,2023-06,18,終了,2.2,1792,3942,,0.1,,,
Lぱちスロにゃんこ大戦争ＢＩＧＢＡＮＧ,にゃんこ,京楽,スマスロ,AT,2023-06,8,終了,4.7,4000,18800,587,2.7,,,
SＳＬＯＴメイドインアビス,メイドインアビス,ユニバーサル,6.5号機～,AT,2023-06,4,終了,2.8,2200,6160,287,2.8,,,
S課長熊田工作,熊田工作,ネット,6.5号機～,AT,2023-05,3,終了,3.4,3297,11209,249,3.0,,,
Sジャベリン,ジャベリン,JPS,6.5号機～,AT,2023-05,,,2.3,,0,,4.2,,,
Lソードアート・オンライン,SAO,大都技研,スマスロ,AT,2023-05,17,終了,3.1,2780,8618,356,4.0,,,
Sパチスロ炎炎ノ消防隊,S炎炎,サンキョー,6.5号機～,AT,2023-05,39,終了,3.0,2889,8667,689,5.0,,,
L主役は銭形４,銭形4,平和,スマスロ,AT,2023-05,36,終了,3.7,3790,14023,367,2.7,,,
Sマイフラワー２-30,マイフラワー,北電子,6.5号機～,AT,2023-05,2,終了,2.7,,0,210,3.5,,,
Sアナザーゴッドハーデス-解き放たれし槍撃ver.-,ハーデス,ユニバーサル,6.5号機～,AT,2023-04,6,終了,4.0,3527,14108,510,2.9,,,
Lゴブリンスレイヤー,ゴブスレ,藤商事,スマスロ,AT,2023-04,15,終了,4.2,4032,16934,547,5.0,7208,+5033,97.8
Lスマスロ北斗の拳,北斗,サミー,スマスロ,AT,2023-04,88,終了,3.3,2853,9414,383,4.1,7254,+1552,99.9
Sキングハナハナ-30,キングハナハナ,パイオニア,6.5号機～,A,2023-03,116,貢献中,,,,,,,,
SパチスロＯＶＥＲＬＯＲＤ絶対支配者光臨II,オバロ,オーイズミ,6.5号機～,AT,2023-03,8,終了,3.3,,0,334,2.7,,,
Sスロドル,スロドル,コナミ,6.5号機～,AT,2023-03,5,終了,2.8,2541,7114,290,3.0,,,
S戦国コレクション５,S戦コレ5,コナミ,6.5号機～,AT,2023-03,10,終了,4.0,4000,16000,350,10.0,,,
S機動戦士ガンダムユニコーン,ユニコーン,サンキョー,6.5号機～,AT,2023-03,7,終了,3.2,2900,9280,344,2.4,,,
Sパチスロ盾の勇者の成り上がり,たてゆう,サミー,6.5号機～,AT,2023-02,7,終了,2.9,2169,6290,298,2.6,,,
S探偵オペラミルキィホームズR大収穫祭!!!!,ミルキィ,カルミナ,6.5号機～,AT,2023-02,4,終了,3.0,,0,255,4.5,,,
Sパチスロ戦国無双３,戦国無双,山佐,6.5号機～,AT,2023-02,8,終了,2.7,2441,6590,582,4.0,,,
Sパチスロ緋弾のアリアＩＩ,アリア,藤商事,6.5号機～,AT,2023-02,5,終了,3.4,3002,10206,445,9.0,,,
Sパチスロモンスターハンターワールドアイスボーン,アイスボーン,エンターライズ,6.5号機～,AT,2023-01,15,終了,2.8,2435,6818,371,2.8,,,
S大花満,大花満,JPS,6.5号機～,AT,2023-01,,,3.4,,,267,4.2,,,
Sパチスロモモキュンソード,モモキュン,西陣,6.5号機～,AT,2023-01,8,終了,3.0,2350,7050,381,5.0,,,
Sもっと！チバリヨ-25,もっとチバリヨ,ネット,6.5号機～,AT,2023-01,1,終了,3.6,3100,11160,255,3.0,,,
Sパチスロ真俺の空,俺の空,フィールズ,6.5号機～,AT,2022-12,4,終了,3.1,2861,8869,293,2.6,,,
S沖ドキ！ＧＯＬＤ-30,沖ドキ30,ユニバーサル,6.5号機～,AT,2022-12,126,終了,3.8,,0,299,3.0,,,
S沖ドキ！ＧＯＬＤ,沖ドキ,ユニバーサル,6.5号機～,AT,2022-12,110,終了,,,,,,,,
Sパチスロ幼女戦記,幼女戦記,サミー,6.5号機～,AT,2022-12,7,終了,3.3,2800,9240,636,2.6,,,
LＨＥＹ！エリートサラリーマン鏡,HEY鏡,大都技研,スマスロ,AT,2022-12,19,終了,3.3,2800,9240,273,2.7,,,
S這いよれ！ニャル子さん,ニャル子,ニューギン,6.5号機～,AT,2022-12,7,終了,3.0,2427,7281,476,2.7,,,
Sもっと！チバリヨ-30,もっとチバリヨ30,ネット,6.5号機～,AT,2022-12,4,終了,,,,,,,,
Lスマスロリノヘブン,リノヘブン,山佐,スマスロ,AT,2022-11,2,終了,3.4,3010,10234,252,3.2,,,
Lバキ強くなりたくば喰らえ！！！,バキ,平和,スマスロ,AT,2022-11,9,終了,4.0,3466,13864,355,4.0,,,
Lパチスロ革命機ヴァルヴレイヴ,ヴヴヴ,サンキョー,スマスロ,AT,2022-11,25,終了,4.5,3822,17199,519,7.2,,,
